gblup,EGBLUP,BA,BL,RF,RKHS
94.589,95.72725,94.628,94.568,94.998,94.896
94.65,95.63304,94.719,94.629,94.765,94.92
95.026,95.9994,95.248,95.054,95.039,95.39
95.242,96.43103,95.502,95.251,97.924,95.699
95.242,96.42022,95.502,95.251,97.924,95.699
96.13,96.1339,96.326,96.108,95.428,95.791
94.216,94.59703,94.164,94.229,94.287,94.57
94.773,92.4657,94.818,94.717,91.452,93.504
94.698,94.8899,94.64,94.671,95.21,94.807
93.847,93.69207,93.713,93.824,92.973,93.639
94.216,94.54534,94.164,94.229,94.287,94.57
94.589,95.73253,94.628,94.568,94.998,94.896
93.806,94.98151,93.78,93.854,96.2,94.483
95.242,96.42113,95.502,95.251,97.924,95.699
95.242,96.43135,95.502,95.251,97.924,95.699
94.216,94.63595,94.164,94.229,94.287,94.57
95.242,96.38472,95.502,95.251,97.924,95.699
94.216,94.64291,94.164,94.229,94.287,94.57
94.698,94.85963,94.64,94.671,95.21,94.807
94.742,94.68589,94.661,94.702,93.242,94.735
94.589,95.74927,94.628,94.568,94.998,94.896
94.589,95.73288,94.628,94.568,94.998,94.896
94.739,95.06004,94.743,94.733,95.525,94.923
93.806,94.96517,93.78,93.854,96.2,94.483
94.739,95.08133,94.743,94.733,95.525,94.923
94.216,94.59595,94.164,94.229,94.287,94.57
95.635,95.05971,95.84,95.65,94.526,95.569
95.242,96.40526,95.502,95.251,97.924,95.699
94.216,94.64464,94.164,94.229,94.287,94.57
94.698,94.83362,94.64,94.671,95.21,94.807
94.698,94.892,94.64,94.671,95.21,94.807
93.92,93.8661,93.762,93.889,92.97,93.846
94.216,94.6375,94.164,94.229,94.287,94.57
94.643,96.35787,94.83,94.643,97.182,94.875
93.806,94.97292,93.78,93.854,96.2,94.483
95.242,96.409,95.502,95.251,97.924,95.699
95.242,96.41281,95.502,95.251,97.924,95.699
96.171,96.26736,96.43,96.169,99.915,95.876
95.319,96.22436,95.571,95.338,97.775,95.729
94.328,94.55456,94.27,94.326,94.214,94.491
94.739,95.06475,94.743,94.733,95.525,94.923
93.806,94.97238,93.78,93.854,96.2,94.483
94.589,95.75306,94.628,94.568,94.998,94.896
93.89,94.89643,93.883,93.933,95.997,94.506
94.643,96.28174,94.83,94.643,97.182,94.875
95.242,96.40967,95.502,95.251,97.924,95.699
95.723,95.78851,95.957,95.724,95.574,95.696
94.216,94.60051,94.164,94.229,94.287,94.57
95.181,96.2821,95.461,95.214,97.83,95.597
93.823,92.59758,93.827,93.83,92.031,93.324
94.216,94.5546,94.164,94.229,94.287,94.57
95.255,94.51343,95.808,95.438,94.447,95.056
94.742,94.59658,94.661,94.702,93.242,94.735
93.847,93.68301,93.713,93.824,92.973,93.639
94.216,94.62089,94.164,94.229,94.287,94.57
94.784,94.89362,94.765,94.764,92.435,94.851
95.242,96.41789,95.502,95.251,97.924,95.699
94.698,94.83684,94.64,94.671,95.21,94.807
94.767,94.71519,94.745,94.786,95.409,94.841
94.216,94.58323,94.164,94.229,94.287,94.57
95.242,96.37127,95.502,95.251,97.924,95.699
94.691,94.45654,94.489,94.624,92.045,94.573
94.776,94.93466,94.746,94.744,95.538,94.891
