GBLUP,EGBLUP,BayesA,BayesL,RF,RKHS
94.589,95.51372,94.606,94.614,94.934,95.007
94.494,95.11059,94.177,94.325,92.807,94.856
94.643,96.12498,94.781,94.714,96.768,94.941
95.242,96.35623,95.449,95.408,98.086,95.929
95.242,96.33363,95.449,95.408,98.086,95.929
94.216,94.62879,94.207,94.215,94.296,94.623
95.329,94.50465,95.298,95.3,95.361,94.901
94.698,94.82456,94.645,94.659,95.255,94.791
94.773,92.54792,94.754,94.76,91.773,93.239
94.698,94.85958,94.645,94.659,95.255,94.791
94.216,94.61859,94.207,94.215,94.296,94.623
94.589,95.53038,94.606,94.614,94.934,95.007
94.739,95.09889,94.76,94.751,95.568,94.969
93.81,94.88258,93.897,93.854,96.068,94.511
94.739,95.11804,94.76,94.751,95.568,94.969
94.023,94.03921,94.192,94.097,93.391,94.164
95.216,95.75043,95.355,95.386,95.598,95.586
94.216,94.65263,94.207,94.215,94.296,94.623
94.773,92.54366,94.754,94.76,91.773,93.239
94.698,94.88145,94.645,94.659,95.255,94.791
94.216,94.62048,94.207,94.215,94.296,94.623
94.216,94.61737,94.207,94.215,94.296,94.623
93.447,91.28755,93.366,93.335,88.893,92.009
95.242,96.36798,95.449,95.408,98.086,95.929
95.242,96.34729,95.449,95.408,98.086,95.929
94.216,94.6399,94.207,94.215,94.296,94.623
95.242,96.35294,95.449,95.408,98.086,95.929
94.216,94.61176,94.207,94.215,94.296,94.623
94.742,94.66606,94.651,94.678,93.701,94.69
94.703,94.84224,94.658,94.649,95.33,94.802
93.847,93.63557,93.775,93.764,92.902,93.625
94.216,94.61979,94.207,94.215,94.296,94.623
93.822,94.87781,93.857,93.852,96.01,94.442
93.808,94.89947,93.887,93.838,96.033,94.51
94.295,94.05799,94.559,94.451,93.801,94.014
95.242,96.28689,95.449,95.408,98.086,95.929
96.13,96.11493,96.195,96.212,95.436,95.846
94.698,94.86098,94.645,94.659,95.255,94.791
95.174,93.15525,95.288,95.235,92.953,94.108
94.698,94.83838,94.645,94.659,95.255,94.791
94.026,93.90168,93.903,93.981,93.127,93.801
94.587,95.43039,94.596,94.619,94.904,94.944
93.806,94.87237,93.877,93.821,96.322,94.508
94.244,93.83568,94.468,94.391,93.423,93.733
94.698,94.86294,94.645,94.659,95.255,94.791
95.242,96.33789,95.449,95.408,98.086,95.929
95.715,95.03927,95.902,96.015,95.819,95.454
94.187,94.27565,94.004,94.173,93.193,94.502
95.318,92.97812,95.456,95.401,92.4,93.971
94.698,94.85772,94.645,94.659,95.255,94.791
94.589,95.51592,94.606,94.614,94.934,95.007
94.216,94.56156,94.207,94.215,94.296,94.623
93.89,95.20033,93.999,93.921,96.347,94.64
94.244,93.84668,94.468,94.391,93.423,93.733
94.444,94.46934,94.184,94.222,91.024,94.422
95.242,96.32844,95.449,95.408,98.086,95.929
96.13,96.12244,96.195,96.212,95.436,95.846
94.216,94.61147,94.207,94.215,94.296,94.623
94.672,92.47546,94.581,94.624,91.641,93.198
94.698,94.8602,94.645,94.659,95.255,94.791
93.847,93.62231,93.775,93.764,92.902,93.625
94.589,95.53144,94.606,94.614,94.934,95.007
94.589,95.48584,94.606,94.614,94.934,95.007
95.242,96.29743,95.449,95.408,98.086,95.929
94.455,94.0676,94.212,94.326,94.715,94.301
95.242,96.3101,95.449,95.408,98.086,95.929
96.171,96.22078,96.311,96.303,99.641,95.975
95.135,94.59021,95.546,95.563,94.71,94.93
94.773,92.56365,94.754,94.76,91.773,93.239
94.698,94.84439,94.645,94.659,95.255,94.791
94.589,95.51258,94.606,94.614,94.934,95.007
94.589,95.50758,94.606,94.614,94.934,95.007
94.65,95.37462,94.674,94.66,94.71,95.034
95.026,95.88961,95.222,95.184,94.888,95.566
95.242,96.33216,95.449,95.408,98.086,95.929
95.242,96.30916,95.449,95.408,98.086,95.929
96.13,96.07936,96.195,96.212,95.436,95.846
94.216,94.62855,94.207,94.215,94.296,94.623
94.773,92.55032,94.754,94.76,91.773,93.239
94.698,94.83777,94.645,94.659,95.255,94.791
93.847,93.65485,93.775,93.764,92.902,93.625
94.216,94.63679,94.207,94.215,94.296,94.623
94.589,95.52408,94.606,94.614,94.934,95.007
93.806,94.88161,93.877,93.821,96.322,94.508
95.242,96.33797,95.449,95.408,98.086,95.929
95.242,96.34801,95.449,95.408,98.086,95.929
94.216,94.61122,94.207,94.215,94.296,94.623
95.242,96.29617,95.449,95.408,98.086,95.929
94.216,94.63324,94.207,94.215,94.296,94.623
94.698,94.88278,94.645,94.659,95.255,94.791
94.742,94.65343,94.651,94.678,93.701,94.69
94.589,95.52177,94.606,94.614,94.934,95.007
94.589,95.48318,94.606,94.614,94.934,95.007
94.739,95.08616,94.76,94.751,95.568,94.969
93.806,94.89335,93.877,93.821,96.322,94.508
94.739,95.10902,94.76,94.751,95.568,94.969
94.216,94.63046,94.207,94.215,94.296,94.623
95.635,95.26571,95.767,95.763,94.49,95.56
95.242,96.32167,95.449,95.408,98.086,95.929
94.216,94.62097,94.207,94.215,94.296,94.623
94.698,94.82738,94.645,94.659,95.255,94.791
94.698,94.82815,94.645,94.659,95.255,94.791
93.92,93.91186,93.813,93.844,92.832,93.726
94.216,94.60455,94.207,94.215,94.296,94.623
94.643,96.11818,94.781,94.714,96.768,94.941
93.806,94.84124,93.877,93.821,96.322,94.508
